FIPS Code,State,Area name,Attribute,Value
5001,AR,Arkansas County,"Bachelor's degree or higher, 2008-12",1713
5001,AR,Arkansas County,"Percent of adults who are not high school graduates, 2008-12",17.55812187
5001,AR,Arkansas County,"Percent of adults who are high school graduates (or equivalent), 2008-12",42.70627564
5001,AR,Arkansas County,"Percent of adults completing some college or associate degree, 2008-12",26.72086309
5001,AR,Arkansas County,"Percent of adults with a bachelor's degree or higher, 2008-12",13.0147394
5001,AR,Arkansas County,"Less than high school graduate, 2019-23",1457
5001,AR,Arkansas County,"High school graduate (or equivalency), 2019-23",4965
5001,AR,Arkansas County,"Some college or associate degree, 2019-23",3434
5001,AR,Arkansas County,"Bachelor's degree or higher, 2019-23",1784
5001,AR,Arkansas County,"Percent of adults who are not high school graduates, 2019-23",12.51718213
5001,AR,Arkansas County,"Percent of adults who are high school graduates (or equivalent), 2019-23",42.65463918
5001,AR,Arkansas County,"Percent of adults completing some college or associate degree, 2019-23",29.50171821
5001,AR,Arkansas County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.32646048
5003,AR,Ashley County,2013 Urban Influence Code,11
5003,AR,Ashley County,2024 Urban Influence Code,9
5003,AR,Ashley County,2013 Rural-urban Continuum Code,7
5003,AR,Ashley County,2023 Rural-urban Continuum Code,7
5003,AR,Ashley County,"Less than a high school diploma, 1970",7896
5003,AR,Ashley County,"High school diploma only, 1970",3537
5003,AR,Ashley County,"Some college (1-3 years), 1970",907
5003,AR,Ashley County,"Four years of college or higher, 1970",782
5003,AR,Ashley County,"Percent of adults with less than a high school diploma, 1970",60.2
5003,AR,Ashley County,"Percent of adults with a high school diploma only, 1970",27
5003,AR,Ashley County,"Percent of adults completing some college (1-3 years), 1970",6.9
5003,AR,Ashley County,"Percent of adults completing four years of college or higher, 1970",6
5003,AR,Ashley County,"Less than a high school diploma, 1980",7201
5003,AR,Ashley County,"High school diploma only, 1980",5458
5003,AR,Ashley County,"Some college (1-3 years), 1980",1261
5003,AR,Ashley County,"Four years of college or higher, 1980",1163
5003,AR,Ashley County,"Percent of adults with less than a high school diploma, 1980",47.7
5003,AR,Ashley County,"Percent of adults with a high school diploma only, 1980",36.2
5003,AR,Ashley County,"Percent of adults completing some college (1-3 years), 1980",8.4
5003,AR,Ashley County,"Percent of adults completing four years of college or higher, 1980",7.7
5003,AR,Ashley County,"Less than high school graduate, 1990",5659
5003,AR,Ashley County,"High school graduate (or equivalency), 1990",5874
5003,AR,Ashley County,"Some college or associate degree, 1990",2267
5003,AR,Ashley County,"Bachelor's degree or higher, 1990",1422
5003,AR,Ashley County,"Percent of adults who are not high school graduates, 1990",37.2
5003,AR,Ashley County,"Percent of adults who are high school graduates (or equivalent), 1990",38.6
5003,AR,Ashley County,"Percent of adults completing some college or associate degree, 1990",14.9
5003,AR,Ashley County,"Percent of adults with a bachelor's degree or higher, 1990",9.3
5003,AR,Ashley County,"Less than high school graduate, 2000",4325
5003,AR,Ashley County,"High school graduate (or equivalency), 2000",6798
5003,AR,Ashley County,"Some college or associate degree, 2000",3017
5003,AR,Ashley County,"Bachelor's degree or higher, 2000",1582
5003,AR,Ashley County,"Percent of adults who are not high school graduates, 2000",27.5
5003,AR,Ashley County,"Percent of adults who are high school graduates (or equivalent), 2000",43.2
5003,AR,Ashley County,"Percent of adults completing some college or associate degree, 2000",19.2
5003,AR,Ashley County,"Percent of adults with a bachelor's degree or higher, 2000",10.1
5003,AR,Ashley County,"Less than high school graduate, 2008-12",2538
5003,AR,Ashley County,"High school graduate (or equivalency), 2008-12",6412
5003,AR,Ashley County,"Some college or associate degree, 2008-12",3855
5003,AR,Ashley County,"Bachelor's degree or higher, 2008-12",1934
5003,AR,Ashley County,"Percent of adults who are not high school graduates, 2008-12",17.21962141
5003,AR,Ashley County,"Percent of adults who are high school graduates (or equivalent), 2008-12",43.50362983
5003,AR,Ashley County,"Percent of adults completing some college or associate degree, 2008-12",26.15509872
5003,AR,Ashley County,"Percent of adults with a bachelor's degree or higher, 2008-12",13.12165004
5003,AR,Ashley County,"Less than high school graduate, 2019-23",1588
5003,AR,Ashley County,"High school graduate (or equivalency), 2019-23",6796
5003,AR,Ashley County,"Some college or associate degree, 2019-23",3075
5003,AR,Ashley County,"Bachelor's degree or higher, 2019-23",1589
5003,AR,Ashley County,"Percent of adults who are not high school graduates, 2019-23",12.17044758
5003,AR,Ashley County,"Percent of adults who are high school graduates (or equivalent), 2019-23",52.08461067
5003,AR,Ashley County,"Percent of adults completing some college or associate degree, 2019-23",23.56683017
5003,AR,Ashley County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.17811159
5005,AR,Baxter County,2013 Urban Influence Code,8
5005,AR,Baxter County,2024 Urban Influence Code,7
5005,AR,Baxter County,2013 Rural-urban Continuum Code,7
5005,AR,Baxter County,2023 Rural-urban Continuum Code,7
5005,AR,Baxter County,"Less than a high school diploma, 1970",5645
5005,AR,Baxter County,"High school diploma only, 1970",2998
5005,AR,Baxter County,"Some college (1-3 years), 1970",1230
5005,AR,Baxter County,"Four years of college or higher, 1970",599
5005,AR,Baxter County,"Percent of adults with less than a high school diploma, 1970",53.9
5005,AR,Baxter County,"Percent of adults with a high school diploma only, 1970",28.6
5005,AR,Baxter County,"Percent of adults completing some college (1-3 years), 1970",11.7
5005,AR,Baxter County,"Percent of adults completing four years of college or higher, 1970",5.7
5005,AR,Baxter County,"Less than a high school diploma, 1980",8354
5005,AR,Baxter County,"High school diploma only, 1980",7554
5005,AR,Baxter County,"Some college (1-3 years), 1980",1896
5005,AR,Baxter County,"Four years of college or higher, 1980",1761
5005,AR,Baxter County,"Percent of adults with less than a high school diploma, 1980",42.7
5005,AR,Baxter County,"Percent of adults with a high school diploma only, 1980",38.6
5005,AR,Baxter County,"Percent of adults completing some college (1-3 years), 1980",9.7
5005,AR,Baxter County,"Percent of adults completing four years of college or higher, 1980",9
5005,AR,Baxter County,"Less than high school graduate, 1990",7491
5005,AR,Baxter County,"High school graduate (or equivalency), 1990",8307
5005,AR,Baxter County,"Some college or associate degree, 1990",5130
5005,AR,Baxter County,"Bachelor's degree or higher, 1990",2436
5005,AR,Baxter County,"Percent of adults who are not high school graduates, 1990",32.1
5005,AR,Baxter County,"Percent of adults who are high school graduates (or equivalent), 1990",35.6
5005,AR,Baxter County,"Percent of adults completing some college or associate degree, 1990",22
5005,AR,Baxter County,"Percent of adults with a bachelor's degree or higher, 1990",10.4
5005,AR,Baxter County,"Less than high school graduate, 2000",6482
5005,AR,Baxter County,"High school graduate (or equivalency), 2000",10832
5005,AR,Baxter County,"Some college or associate degree, 2000",7859
5005,AR,Baxter County,"Bachelor's degree or higher, 2000",3688
5005,AR,Baxter County,"Percent of adults who are not high school graduates, 2000",22.5
5005,AR,Baxter County,"Percent of adults who are high school graduates (or equivalent), 2000",37.5
5005,AR,Baxter County,"Percent of adults completing some college or associate degree, 2000",27.2
5005,AR,Baxter County,"Percent of adults with a bachelor's degree or higher, 2000",12.8
5005,AR,Baxter County,"Less than high school graduate, 2008-12",4137
5005,AR,Baxter County,"High school graduate (or equivalency), 2008-12",11657
5005,AR,Baxter County,"Some college or associate degree, 2008-12",10770
5005,AR,Baxter County,"Bachelor's degree or higher, 2008-12",4873
5005,AR,Baxter County,"Percent of adults who are not high school graduates, 2008-12",13.15965264
5005,AR,Baxter County,"Percent of adults who are high school graduates (or equivalent), 2008-12",37.08051023
5005,AR,Baxter County,"Percent of adults completing some college or associate degree, 2008-12",34.25899418
5005,AR,Baxter County,"Percent of adults with a bachelor's degree or higher, 2008-12",15.50084296
5005,AR,Baxter County,"Less than high school graduate, 2019-23",3408
5005,AR,Baxter County,"High school graduate (or equivalency), 2019-23",11142
5005,AR,Baxter County,"Some college or associate degree, 2019-23",11578
5005,AR,Baxter County,"Bachelor's degree or higher, 2019-23",6029
5005,AR,Baxter County,"Percent of adults who are not high school graduates, 2019-23",10.59800355
5005,AR,Baxter County,"Percent of adults who are high school graduates (or equivalent), 2019-23",34.64875455
5005,AR,Baxter County,"Percent of adults completing some college or associate degree, 2019-23",36.00460242
5005,AR,Baxter County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.74863949
5007,AR,Benton County,2013 Urban Influence Code,2
5007,AR,Benton County,2024 Urban Influence Code,4
5007,AR,Benton County,2013 Rural-urban Continuum Code,2
5007,AR,Benton County,2023 Rural-urban Continuum Code,2
5007,AR,Benton County,"Less than a high school diploma, 1970",16503
5007,AR,Benton County,"High school diploma only, 1970",8355
5007,AR,Benton County,"Some college (1-3 years), 1970",2512
5007,AR,Benton County,"Four years of college or higher, 1970",1799
5007,AR,Benton County,"Percent of adults with less than a high school diploma, 1970",56.6
5007,AR,Benton County,"Percent of adults with a high school diploma only, 1970",28.6
5007,AR,Benton County,"Percent of adults completing some college (1-3 years), 1970",8.6
5007,AR,Benton County,"Percent of adults completing four years of college or higher, 1970",6.2
5007,AR,Benton County,"Less than a high school diploma, 1980",18445
5007,AR,Benton County,"High school diploma only, 1980",17832
5007,AR,Benton County,"Some college (1-3 years), 1980",6255
5007,AR,Benton County,"Four years of college or higher, 1980",5695
5007,AR,Benton County,"Percent of adults with less than a high school diploma, 1980",38.2
5007,AR,Benton County,"Percent of adults with a high school diploma only, 1980",37
5007,AR,Benton County,"Percent of adults completing some college (1-3 years), 1980",13
5007,AR,Benton County,"Percent of adults completing four years of college or higher, 1980",11.8
5007,AR,Benton County,"Less than high school graduate, 1990",16315
5007,AR,Benton County,"High school graduate (or equivalency), 1990",23121
5007,AR,Benton County,"Some college or associate degree, 1990",15948
5007,AR,Benton County,"Bachelor's degree or higher, 1990",9291
5007,AR,Benton County,"Percent of adults who are not high school graduates, 1990",25.2
5007,AR,Benton County,"Percent of adults who are high school graduates (or equivalent), 1990",35.7
5007,AR,Benton County,"Percent of adults completing some college or associate degree, 1990",24.7
5007,AR,Benton County,"Percent of adults with a bachelor's degree or higher, 1990",14.4
5007,AR,Benton County,"Less than high school graduate, 2000",19465
5007,AR,Benton County,"High school graduate (or equivalency), 2000",32644
5007,AR,Benton County,"Some college or associate degree, 2000",27117
5007,AR,Benton County,"Bachelor's degree or higher, 2000",20210
5007,AR,Benton County,"Percent of adults who are not high school graduates, 2000",19.6
5007,AR,Benton County,"Percent of adults who are high school graduates (or equivalent), 2000",32.8
5007,AR,Benton County,"Percent of adults completing some college or associate degree, 2000",27.3
5007,AR,Benton County,"Percent of adults with a bachelor's degree or higher, 2000",20.3
5007,AR,Benton County,"Less than high school graduate, 2008-12",20314
5007,AR,Benton County,"High school graduate (or equivalency), 2008-12",44020
5007,AR,Benton County,"Some college or associate degree, 2008-12",37588
5007,AR,Benton County,"Bachelor's degree or higher, 2008-12",39866
5007,AR,Benton County,"Percent of adults who are not high school graduates, 2008-12",14.32702344
5007,AR,Benton County,"Percent of adults who are high school graduates (or equivalent), 2008-12",31.04635089
5007,AR,Benton County,"Percent of adults completing some college or associate degree, 2008-12",26.51000085
5007,AR,Benton County,"Percent of adults with a bachelor's degree or higher, 2008-12",28.11662482
5007,AR,Benton County,"Less than high school graduate, 2019-23",18335
5007,AR,Benton County,"High school graduate (or equivalency), 2019-23",54731
5007,AR,Benton County,"Some college or associate degree, 2019-23",50252
5007,AR,Benton County,"Bachelor's degree or higher, 2019-23",71213
5007,AR,Benton County,"Percent of adults who are not high school graduates, 2019-23",9.425232996
5007,AR,Benton County,"Percent of adults who are high school graduates (or equivalent), 2019-23",28.1348474
5007,AR,Benton County,"Percent of adults completing some college or associate degree, 2019-23",25.83238661
5007,AR,Benton County,"Percent of adults with a bachelor's degree or higher, 2019-23",36.60753299
5009,AR,Boone County,2013 Urban Influence Code,8
5009,AR,Boone County,2024 Urban Influence Code,7
5009,AR,Boone County,2013 Rural-urban Continuum Code,7
5009,AR,Boone County,2023 Rural-urban Continuum Code,7
5009,AR,Boone County,"Less than a high school diploma, 1970",6541
5009,AR,Boone County,"High school diploma only, 1970",3413
5009,AR,Boone County,"Some college (1-3 years), 1970",875
5009,AR,Boone County,"Four years of college or higher, 1970",839
5009,AR,Boone County,"Percent of adults with less than a high school diploma, 1970",56.1
5009,AR,Boone County,"Percent of adults with a high school diploma only, 1970",29.3
5009,AR,Boone County,"Percent of adults completing some college (1-3 years), 1970",7.5
5009,AR,Boone County,"Percent of adults completing four years of college or higher, 1970",7.2
5009,AR,Boone County,"Less than a high school diploma, 1980",6585
5009,AR,Boone County,"High school diploma only, 1980",6157
5009,AR,Boone County,"Some college (1-3 years), 1980",1977
5009,AR,Boone County,"Four years of college or higher, 1980",1605
5009,AR,Boone County,"Percent of adults with less than a high school diploma, 1980",40.3
5009,AR,Boone County,"Percent of adults with a high school diploma only, 1980",37.7
5009,AR,Boone County,"Percent of adults completing some college (1-3 years), 1980",12.1
5009,AR,Boone County,"Percent of adults completing four years of college or higher, 1980",9.8
5009,AR,Boone County,"Less than high school graduate, 1990",6071
5009,AR,Boone County,"High school graduate (or equivalency), 1990",6711
5009,AR,Boone County,"Some college or associate degree, 1990",3983
5009,AR,Boone County,"Bachelor's degree or higher, 1990",2000
5009,AR,Boone County,"Percent of adults who are not high school graduates, 1990",32.4
5009,AR,Boone County,"Percent of adults who are high school graduates (or equivalent), 1990",35.8
5009,AR,Boone County,"Percent of adults completing some college or associate degree, 1990",21.2
5009,AR,Boone County,"Percent of adults with a bachelor's degree or higher, 1990",10.7
5009,AR,Boone County,"Less than high school graduate, 2000",5344
5009,AR,Boone County,"High school graduate (or equivalency), 2000",8075
5009,AR,Boone County,"Some college or associate degree, 2000",6727
5009,AR,Boone County,"Bachelor's degree or higher, 2000",2924
5009,AR,Boone County,"Percent of adults who are not high school graduates, 2000",23.2
5009,AR,Boone County,"Percent of adults who are high school graduates (or equivalent), 2000",35
5009,AR,Boone County,"Percent of adults completing some college or associate degree, 2000",29.2
5009,AR,Boone County,"Percent of adults with a bachelor's degree or higher, 2000",12.7
5009,AR,Boone County,"Less than high school graduate, 2008-12",3746
5009,AR,Boone County,"High school graduate (or equivalency), 2008-12",9921
5009,AR,Boone County,"Some college or associate degree, 2008-12",8010
5009,AR,Boone County,"Bachelor's degree or higher, 2008-12",3943
5009,AR,Boone County,"Percent of adults who are not high school graduates, 2008-12",14.62138954
5009,AR,Boone County,"Percent of adults who are high school graduates (or equivalent), 2008-12",38.7236534
5009,AR,Boone County,"Percent of adults completing some college or associate degree, 2008-12",31.264637
5009,AR,Boone County,"Percent of adults with a bachelor's degree or higher, 2008-12",15.39032006
5009,AR,Boone County,"Less than high school graduate, 2019-23",2464
5009,AR,Boone County,"High school graduate (or equivalency), 2019-23",9469
5009,AR,Boone County,"Some college or associate degree, 2019-23",10300
5009,AR,Boone County,"Bachelor's degree or higher, 2019-23",4333
5009,AR,Boone County,"Percent of adults who are not high school graduates, 2019-23",9.275013175
5009,AR,Boone County,"Percent of adults who are high school graduates (or equivalent), 2019-23",35.64330347
5009,AR,Boone County,"Percent of adults completing some college or associate degree, 2019-23",38.77136189
5009,AR,Boone County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.31032146
5011,AR,Bradley County,2013 Urban Influence Code,9
5011,AR,Bradley County,2024 Urban Influence Code,8
5011,AR,Bradley County,2013 Rural-urban Continuum Code,7
5011,AR,Bradley County,2023 Rural-urban Continuum Code,7
5011,AR,Bradley County,"Less than a high school diploma, 1970",4997
5011,AR,Bradley County,"High school diploma only, 1970",1744
5011,AR,Bradley County,"Some college (1-3 years), 1970",347
5011,AR,Bradley County,"Four years of college or higher, 1970",321
5011,AR,Bradley County,"Percent of adults with less than a high school diploma, 1970",67.4
5011,AR,Bradley County,"Percent of adults with a high school diploma only, 1970",23.5
5011,AR,Bradley County,"Percent of adults completing some college (1-3 years), 1970",4.7
5011,AR,Bradley County,"Percent of adults completing four years of college or higher, 1970",4.3
5011,AR,Bradley County,"Less than a high school diploma, 1980",4530
5011,AR,Bradley County,"High school diploma only, 1980",2730
5011,AR,Bradley County,"Some college (1-3 years), 1980",538
5011,AR,Bradley County,"Four years of college or higher, 1980",682
5011,AR,Bradley County,"Percent of adults with less than a high school diploma, 1980",53.4
5011,AR,Bradley County,"Percent of adults with a high school diploma only, 1980",32.2
5011,AR,Bradley County,"Percent of adults completing some college (1-3 years), 1980",6.3
5011,AR,Bradley County,"Percent of adults completing four years of college or higher, 1980",8
5011,AR,Bradley County,"Less than high school graduate, 1990",3391
5011,AR,Bradley County,"High school graduate (or equivalency), 1990",2677
5011,AR,Bradley County,"Some college or associate degree, 1990",909
5011,AR,Bradley County,"Bachelor's degree or higher, 1990",754
5011,AR,Bradley County,"Percent of adults who are not high school graduates, 1990",43.9
5011,AR,Bradley County,"Percent of adults who are high school graduates (or equivalent), 1990",34.6
5011,AR,Bradley County,"Percent of adults completing some college or associate degree, 1990",11.8
5011,AR,Bradley County,"Percent of adults with a bachelor's degree or higher, 1990",9.8
5011,AR,Bradley County,"Less than high school graduate, 2000",2794
5011,AR,Bradley County,"High school graduate (or equivalency), 2000",3082
5011,AR,Bradley County,"Some college or associate degree, 2000",1494
5011,AR,Bradley County,"Bachelor's degree or higher, 2000",998
5011,AR,Bradley County,"Percent of adults who are not high school graduates, 2000",33.4
5011,AR,Bradley County,"Percent of adults who are high school graduates (or equivalent), 2000",36.8
5011,AR,Bradley County,"Percent of adults completing some college or associate degree, 2000",17.9
5011,AR,Bradley County,"Percent of adults with a bachelor's degree or higher, 2000",11.9
5011,AR,Bradley County,"Less than high school graduate, 2008-12",1981
5011,AR,Bradley County,"High school graduate (or equivalency), 2008-12",3140
5011,AR,Bradley County,"Some college or associate degree, 2008-12",1765
5011,AR,Bradley County,"Bachelor's degree or higher, 2008-12",877
5011,AR,Bradley County,"Percent of adults who are not high school graduates, 2008-12",25.51848512
5011,AR,Bradley County,"Percent of adults who are high school graduates (or equivalent), 2008-12",40.4482803
5011,AR,Bradley County,"Percent of adults completing some college or associate degree, 2008-12",22.73605565
5011,AR,Bradley County,"Percent of adults with a bachelor's degree or higher, 2008-12",11.29717893
5011,AR,Bradley County,"Less than high school graduate, 2019-23",883
5011,AR,Bradley County,"High school graduate (or equivalency), 2019-23",3130
5011,AR,Bradley County,"Some college or associate degree, 2019-23",1826
5011,AR,Bradley County,"Bachelor's degree or higher, 2019-23",1093
5011,AR,Bradley County,"Percent of adults who are not high school graduates, 2019-23",12.73802654
5011,AR,Bradley County,"Percent of adults who are high school graduates (or equivalent), 2019-23",45.15291402
5011,AR,Bradley County,"Percent of adults completing some college or associate degree, 2019-23",26.34160415
5011,AR,Bradley County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.76745528
5013,AR,Calhoun County,2013 Urban Influence Code,8
5013,AR,Calhoun County,2024 Urban Influence Code,7
5013,AR,Calhoun County,2013 Rural-urban Continuum Code,9
5013,AR,Calhoun County,2023 Rural-urban Continuum Code,9
5013,AR,Calhoun County,"Less than a high school diploma, 1970",2159
5013,AR,Calhoun County,"High school diploma only, 1970",712
5013,AR,Calhoun County,"Some college (1-3 years), 1970",162
5013,AR,Calhoun County,"Four years of college or higher, 1970",110
5013,AR,Calhoun County,"Percent of adults with less than a high school diploma, 1970",68.7
5013,AR,Calhoun County,"Percent of adults with a high school diploma only, 1970",22.7
5013,AR,Calhoun County,"Percent of adults completing some college (1-3 years), 1970",5.2
5013,AR,Calhoun County,"Percent of adults completing four years of college or higher, 1970",3.5
5013,AR,Calhoun County,"Less than a high school diploma, 1980",1897
5013,AR,Calhoun County,"High school diploma only, 1980",1339
5013,AR,Calhoun County,"Some college (1-3 years), 1980",217
5013,AR,Calhoun County,"Four years of college or higher, 1980",149
5013,AR,Calhoun County,"Percent of adults with less than a high school diploma, 1980",52.7
5013,AR,Calhoun County,"Percent of adults with a high school diploma only, 1980",37.2
5013,AR,Calhoun County,"Percent of adults completing some college (1-3 years), 1980",6
5013,AR,Calhoun County,"Percent of adults completing four years of college or higher, 1980",4.1
5013,AR,Calhoun County,"Less than high school graduate, 1990",1382
5013,AR,Calhoun County,"High school graduate (or equivalency), 1990",1534
5013,AR,Calhoun County,"Some college or associate degree, 1990",575
5013,AR,Calhoun County,"Bachelor's degree or higher, 1990",279
5013,AR,Calhoun County,"Percent of adults who are not high school graduates, 1990",36.7
5013,AR,Calhoun County,"Percent of adults who are high school graduates (or equivalent), 1990",40.7
5013,AR,Calhoun County,"Percent of adults completing some college or associate degree, 1990",15.3
5013,AR,Calhoun County,"Percent of adults with a bachelor's degree or higher, 1990",7.4
5013,AR,Calhoun County,"Less than high school graduate, 2000",1221
5013,AR,Calhoun County,"High school graduate (or equivalency), 2000",1701
5013,AR,Calhoun County,"Some college or associate degree, 2000",699
5013,AR,Calhoun County,"Bachelor's degree or higher, 2000",285
5013,AR,Calhoun County,"Percent of adults who are not high school graduates, 2000",31.3
5013,AR,Calhoun County,"Percent of adults who are high school graduates (or equivalent), 2000",43.5
5013,AR,Calhoun County,"Percent of adults completing some college or associate degree, 2000",17.9
5013,AR,Calhoun County,"Percent of adults with a bachelor's degree or higher, 2000",7.3
5013,AR,Calhoun County,"Less than high school graduate, 2008-12",804
5013,AR,Calhoun County,"High school graduate (or equivalency), 2008-12",1805
5013,AR,Calhoun County,"Some college or associate degree, 2008-12",942
5013,AR,Calhoun County,"Bachelor's degree or higher, 2008-12",260
5013,AR,Calhoun County,"Percent of adults who are not high school graduates, 2008-12",21.09682498
5013,AR,Calhoun County,"Percent of adults who are high school graduates (or equivalent), 2008-12",47.36289688
5013,AR,Calhoun County,"Percent of adults completing some college or associate degree, 2008-12",24.71792181
5013,AR,Calhoun County,"Percent of adults with a bachelor's degree or higher, 2008-12",6.822356337
5013,AR,Calhoun County,"Less than high school graduate, 2019-23",451
5013,AR,Calhoun County,"High school graduate (or equivalency), 2019-23",1442
